policyID,statecode,county,eq_site_limit,hu_site_limit,fl_site_limit,fr_site_limit,tiv_2011,tiv_2012,eq_site_deductible,hu_site_deductible,fl_site_deductible,fr_site_deductible,point_latitude,point_longitude,line,construction,point_granularity
555590,FL,FLAGLER COUNTY,195120,195120,195120,195120,195120,259485.41,0,0,0,0,29.469646,-81.259552,Residential,Wood,1
698118,FL,FLAGLER COUNTY,0,26010000,0,0,26010000,24570000,0,0,0,0,29.48208,-81.351645,Commercial,Reinforced Concrete,3
667609,FL,FLAGLER COUNTY,0,888179.7,0,0,888179.7,1180284.24,0,0,0,0,29.46844,-81.25565,Residential,Masonry,1
458103,FL,FLAGLER COUNTY,0,1728045.71,0,0,1728045.71,1325805.05,0,0,0,0,29.471073,-81.265549,Residential,Masonry,4
667939,FL,FLAGLER COUNTY,0,201339.27,0,0,201339.27,372716.04,0,0,0,0,29.465355,-81.25805,Residential,Wood,3
952149,FL,FLAGLER COUNTY,0,59753.82,0,0,59753.82,51419.36,0,0,0,0,29.46676,-81.25705,Residential,Wood,1
124100,FL,FLAGLER COUNTY,0,43201.55,0,0,43201.55,56041.05,0,0,0,0,29.47195,-81.2457,Residential,Wood,3
455522,FL,FLAGLER COUNTY,0,423218.07,0,0,423218.07,370556.2,0,0,0,0,29.492002,-81.265229,Residential,Masonry,1
519259,FL,FLAGLER COUNTY,0,303578,0,0,303578,350996.88,0,0,0,0,29.492002,-81.265229,Residential,Wood,1
413009,FL,FLAGLER COUNTY,0,84727.56,0,0,84727.56,66080.89,0,0,0,0,29.492002,-81.265229,Residential,Wood,1
507702,FL,FLAGLER COUNTY,0,162733.88,0,0,162733.88,169047.95,0,0,0,0,29.404701,-81.195427,Residential,Wood,1
298283,FL,FLAGLER COUNTY,0,12623.22,0,0,12623.22,14262.82,0,0,0,0,29.404701,-81.195427,Residential,Wood,1
928851,FL,FLAGLER COUNTY,0,189341.63,0,0,189341.63,247581.61,0,0,0,0,29.423797,-81.369699,Residential,Wood,3
